1426470590.171813 ccnd[4010]: CCND_DEBUG=7 CCND_CAP=1750
1426470590.171912 ccnd[4010]: listening on /tmp/.ccnd.sock.63001
1426470590.171936 ccnd[4010]: accepting ipv4 datagrams on fd 4 rcvbuf 212992
1426470590.171951 ccnd[4010]: accepting ipv4 connections on fd 5
1426470590.171965 ccnd[4010]: accepting ipv6 datagrams on fd 6 rcvbuf 212992
1426470590.171977 ccnd[4010]: accepting ipv6 connections on fd 7
1426470590.174729 ccnd[4010]: debug.2659 prefix,ff=3 0 ccnx:/ccnx/ping (16 bytes)
1426470590.174838 ccnd[4010]: debug.2659 prefix,ff=3 0 ccnx:/%C1.M.S.localhost/%C1.M.SRV/ccnd (37 bytes)
1426470590.174849 ccnd[4010]: debug.2659 prefix,ff=3 0 ccnx:/%C1.M.S.neighborhood (24 bytes)
1426470590.174860 ccnd[4010]: debug.2659 prefix,ff=3 0 ccnx:/%C1.M.S.neighborhood/guest (32 bytes)
1426470590.174869 ccnd[4010]: debug.2659 prefix,ff=3 0 ccnx:/%C1.M.FACE (13 bytes)
1426470590.174887 ccnd[4010]: debug.2659 prefix,ff=0x17 0 ccnx:/ccnx/=E09DBBC19B648D23A068AB3F9911B8C90B6FF7FBC5EBB0C5544D2E6D2E1C2257 (45 bytes)
1426470590.174895 ccnd[4010]: debug.2659 prefix,ff=0x23 0 ccnx:/%C1.M.S.localhost (20 bytes)
1426470590.222498 ccnd[4010]: accepted client fd=8 id=6
1426470590.222559 ccnd[4010]: shutdown client fd=8 id=6
1426470590.222567 ccnd[4010]: recycling face id 6 (slot 6)
1426470590.223300 ccnd[4010]: accepted client fd=8 id=6
1426470590.224386 ccnd[4010]: debug.4920 content_from 6 ccnx:/parc.com/csl/ccn/Repos/data/policy.xml/=FD055059973F9C/=00/%06hu%ABC=A8C9BE3F4241C4C441C58F6BBB0E492DFEA40D96BF7AEF3CFA3D5C (505 bytes)
1426470590.224479 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=00/T%161RH%BCf%11b=EC2F979C584036999231BE10EC1D57504B438A3A4E4534 (4505 bytes)
1426470590.224577 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0001/=B6A0F554D668AB0531DAEAC0F6F70522BEBB07D7BEE462156E807658D7309A6B (4506 bytes)
1426470590.224644 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0002/=9AEE2C85A221C2D0B6DBDB79EBBEA194564ECA02531D955AE6CF12384A33B1D4 (4506 bytes)
1426470590.224708 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0003/=16E7A4BA6F0907CE4FA04386C206F52F0C556F467CC1E3E8300424024B49B154 (4506 bytes)
1426470590.224785 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0004/%204%F9_=CC805B5D8AF886CCACECDF335DD05C8E2A35DE782CB6200C9E1C4CC4 (4506 bytes)
